x,y,z,ap_x,ap_y,ap_tipo,dist_euclid,rssi_dbm,n_rayos,pl_min_db,delayspread_ns,refl_dom,cruces_nlos
0,132,1,-0.1,88.6,1,43.4001152072204,-33.3793060427196,74,79.1793060427196,38.5743801287978,0,0
0,134,1,-0.1,88.6,1,45.400110132025,-33.7704279540567,74,79.5704279540567,36.9546973677292,0,0
25.98,0,1,25.9,43.4,1,43.4000737326563,-33.379297746601,63,79.179297746601,26.3064821422862,0,0
25.98,2,1,25.9,43.4,1,41.4000772946138,-32.9697394652923,71,78.7697394652923,33.4104859161796,0,0
25.98,4,1,25.9,43.4,1,39.4000812181904,-32.5399223779939,62,78.3399223779939,34.1092789583305,0,0
25.98,6,1,25.9,43.4,1,37.4000855613995,-32.0877389535587,61,77.8877389535587,35.3684286180001,0,0
25.98,8,1,25.9,43.4,1,35.4000903953648,-31.6107349240092,53,77.4107349240092,36.890167933946,0,0
25.98,10,1,25.9,43.4,1,33.4000958082458,-31.1060288567145,64,76.9060288567145,36.3869855073253,0,0
25.98,12,1,25.9,43.4,1,31.4001019106626,-30.5702069878536,55,76.3702069878535,36.0638691131791,0,0
25.98,14,1,25.9,43.4,1,29.4001088433359,-29.9991835948842,57,75.7991835948842,39.0866985510077,0,0
25.98,16,1,25.9,43.4,1,27.4001167880723,-29.3880124199517,50,75.1880124199517,38.5815385658743,0,0
25.98,18,1,25.9,43.4,1,25.4001259839395,-28.7306270225482,49,74.5306270225482,36.9956820337659,0,0
25.98,20,1,25.9,43.4,1,23.4001367517372,-28.0194753416265,52,73.8194753416265,32.0089345281784,0,0
25.98,22,1,25.9,43.4,1,21.4001495321879,-27.2449922374248,53,73.0449922374248,30.8060468979861,0,0
25.98,24,1,25.9,43.4,1,19.4001649477524,-26.3948155964051,94,72.1948155964051,26.1905875887118,0,0
25.98,26,1,25.9,43.4,1,17.4001839070741,-25.4525806516134,67,71.2525806516134,26.7364400575406,0,0
25.98,28,1,25.9,43.4,1,15.4002077908059,-24.3959882300349,54,70.1959882300349,24.7876106335742,0,0
25.98,30,1,25.9,43.4,1,13.4002388038423,-23.1935527034737,43,68.9935527034737,25.3128089399044,0,0
25.98,32,1,25.9,43.4,1,11.4002806982986,-21.798782206666,36,67.598782206666,23.4527991832266,0,0
25.98,34,1,25.9,43.4,1,9.4003404193678,-20.1389259420377,41,65.9389259420377,21.5639288085452,0,0
25.98,36,1,25.9,43.4,1,7.40043241979818,-18.0909094037617,37,63.8909094037617,17.262238577596,0,0
25.98,38,1,25.9,43.4,1,5.40059256008079,-15.422418162617,59,61.222418162617,10.5271075998078,0,0
25.98,40,1,25.9,43.4,1,3.40094104623999,-11.619292104507,49,57.419292104507,8.60707610757144,0,0
25.98,42,1,25.9,43.4,1,1.40228385143665,-5.34948043324778,33,51.1494804332478,4.80054123840664,0,0
25.98,44,1,25.9,43.4,1,0.605309838016864,-1.98296184205306,17,47.7829618420531,3.69644188589868,0,0
25.98,46,1,25.9,43.4,1,2.60123047806226,-9.52938085512217,19,55.3293808551222,6.42011871355551,0,0
25.98,48,1,25.9,43.4,1,4.60069559958057,-14.0841349681712,18,59.8841349681712,8.27865750311472,0,0
25.98,50,1,25.9,43.4,1,6.60048483067721,-17.1172588477424,35,62.9172588477424,14.5937724027581,0,0
25.98,52,1,25.9,43.4,1,8.600372084974,-19.3758498672884,38,65.1758498672884,16.3585541220317,0,0
25.98,54,1,25.9,43.4,1,10.6003018824937,-21.1720268650333,44,66.9720268650333,19.368874351335,0,0
25.98,56,1,25.9,43.4,1,12.6002539656945,-22.6620378025064,47,68.4620378025064,21.4451958347598,0,0
25.98,58,1,25.9,43.4,1,14.600219176437,-23.9346966738793,67,69.7346966738793,21.9350591318425,0,0
25.98,60,1,25.9,43.4,1,16.6001927699651,-25.045177474834,46,70.845177474834,22.7728480394343,0,0
25.98,62,1,25.9,43.4,1,18.6001720422151,-26.0300575089297,37,71.8300575089297,24.9908917547614,0,0
25.98,64,1,25.9,43.4,1,20.6001553392201,-26.9148151254626,34,72.7148151254626,28.5642114984892,0,0
25.98,66,1,25.9,43.4,1,22.6001415924768,-27.7179009976283,37,73.5179009976283,30.8412074410568,0,0
25.98,68,1,25.9,43.4,1,24.6001300809569,-28.4531019047526,42,74.2531019047526,31.9754163686352,0,0
