x,y,z,ap_x,ap_y,ap_tipo,dist_euclid,rssi_dbm,n_rayos,pl_min_db,delayspread_ns,refl_dom,cruces_nlos
25.98,55,1,25.9,43.4,1,11.6002758587889,-21.9487039426468,46,67.7487039426468,20.6332233550994,0,0
25.98,60,1,25.9,43.4,1,16.6001927699651,-25.045177474834,46,70.845177474834,22.7728480394343,0,0
25.98,65,1,25.9,43.4,1,21.6001481476401,-27.325616254398,36,73.125616254398,29.9206599279034,0,0
25.98,70,1,25.9,43.4,1,26.6001203004798,-29.1309888523551,35,74.9309888523551,31.82759797511,0,0
25.98,75,1,25.9,43.4,1,31.6001012656605,-30.6252997993559,25,76.4252997993559,40.0410856583693,0,0
25.98,80,1,25.9,43.4,1,36.6000874315896,-31.9000666088343,63,77.7000666088343,40.1801058440622,0,0
25.98,85,1,25.9,43.4,1,41.6000769230058,-33.0115748086118,31,78.8115748086118,44.1714414346211,0,0
25.98,90,1,25.9,43.4,1,46.6000686694773,-33.9969138949681,26,79.7969138949681,50.2252726349429,0,0
25.98,95,1,25.9,43.4,1,51.6000620154666,-34.8818185863568,18,80.6818185863568,47.2520802929113,0,0
25.98,100,1,25.9,43.4,1,56.6000565370742,-35.6848760564295,16,81.4848760564295,50.320686236642,0,0
25.98,105,1,25.9,43.4,1,61.60005194803,-36.4199492427762,19,82.2199492427762,34.8322314637493,0,0
25.98,110,1,25.9,43.4,1,66.6000480480307,-37.0976531664496,15,82.8976531664496,37.5473795330121,0,0
25.98,115,1,25.9,43.4,1,71.6000446927235,-37.7262962388262,19,83.5262962388262,48.8050028121667,0,0
25.98,120,1,25.9,43.4,1,76.6000417754455,-38.3125035363961,12,84.1125035363961,50.3796245403588,0,0
25.98,125,1,25.9,43.4,1,81.6000392156768,-38.8616428432233,17,84.6616428432233,51.7448405841568,0,0
25.98,130,1,25.9,43.4,1,86.6000369514933,-39.3781239093296,16,85.1781239093296,58.2368402401575,0,0
25.98,135,1,25.9,43.4,1,91.6000349344911,-39.8656136622791,15,85.6656136622791,57.5968182804699,0,0
0,0,1,25.9,-0.3,1,25.9017373934646,-28.9002297195011,70,74.7002297195011,14.7674852710886,0,1
0,5,1,25.9,-0.3,1,26.436716891475,-53.835875985237,33,99.635875985237,8.54643305121759,4,1
25.98,0,1,25.9,-0.3,1,0.310483493925201,-1.02687357727837,21,46.8268735772784,2.97209695147739,0,0
25.98,5,1,25.9,-0.3,1,5.30060373919802,-15.2655758937028,50,61.0655758937028,5.73000633910136,0,0
25.98,10,1,25.9,-0.3,1,10.3003106749263,-20.9249320331303,42,66.7249320331303,11.3913798404324,0,0
25.98,15,1,25.9,-0.3,1,15.3002091488973,-24.3396430974242,59,70.1396430974242,14.4490097183927,0,0
25.98,20,1,25.9,-0.3,1,20.3001576348559,-26.787697411191,72,72.587697411191,17.6701144724242,0,0
25.98,25,1,25.9,-0.3,1,25.3001264818973,-28.6964166902234,58,74.4964166902234,19.7481946942891,0,0
25.98,30,1,25.9,-0.3,1,30.300105610377,-30.2607939588349,51,76.0607939588349,26.063825064449,0,0
25.98,35,1,25.9,-0.3,1,35.3000906514417,-31.5861835640781,134,77.3861835640781,22.4516956706896,0,0
25.98,40,1,25.9,-0.3,1,40.3000794043883,-32.7359745909607,73,78.5359745909606,26.0777401289885,0,0
25.98,45,1,25.9,-0.3,1,45.3000706401215,-33.7512767234259,59,79.5512767234259,28.2262286654472,0,0
25.98,50,1,25.9,-0.3,1,50.30006361825,-34.6602701698694,31,80.4602701698694,32.1208688854418,0,0
25.98,55,1,25.9,-0.3,1,55.3000578661542,-35.4831149379745,37,81.2831149379745,35.8943608547438,0,0
25.98,60,1,25.9,-0.3,1,60.30005306797,-36.2347314289481,34,82.034731428948,37.7326918779959,0,0
25.98,65,1,25.9,-0.3,1,65.3000490045758,-36.9264718242838,30,82.7264718242838,39.541876648193,0,0
25.98,70,1,25.9,-0.3,1,70.3000455191887,-37.5671741099136,21,83.3671741099136,42.3832584357665,0,0
25.98,75,1,25.9,-0.3,1,75.300042496668,-38.1638536055375,17,83.9638536055375,44.7628378105903,0,0
25.98,80,1,25.9,-0.3,1,80.3000398505505,-38.7221719960655,32,84.5221719960655,54.7617208172744,0,0
25.98,85,1,25.9,-0.3,1,85.3000375146459,-39.2467645893708,21,85.0467645893708,71.467684731123,0,0
25.98,90,1,25.9,-0.3,1,90.3000354374238,-39.7414742998782,21,85.5414742998782,71.5741973786371,0,0
25.98,95,1,25.9,-0.3,1,95.3000335781683,-40.2095225429305,22,86.0095225429305,71.2052391679394,0,0
25.98,100,1,25.9,-0.3,1,100.300031904282,-40.6536364105587,23,86.4536364105587,69.7797054382974,0,0
