192.00,26.00,160.80,4.00,-61.04
193.00,26.00,160.80,4.00,-61.04
194.00,26.00,160.80,4.00,-61.04
195.00,26.00,160.80,4.00,-61.04
196.00,26.00,160.80,4.00,-61.04
197.00,25.80,131.86,4.00,-58.14
198.00,25.07,24.66,4.00,-36.89
199.00,23.19,0.00,4.00,-19.54
200.00,20.97,0.00,4.00,-23.92
201.00,18.75,0.00,4.00,-26.77
202.00,16.53,0.00,4.00,-28.88
203.00,14.31,0.00,4.00,-30.56
204.00,12.09,0.00,4.00,-50.00
205.00,9.87,0.00,4.00,-49.51
206.00,7.65,0.00,4.00,-48.97
207.00,5.43,0.00,4.00,-48.41
208.00,3.21,0.00,4.00,-47.80
209.00,1.30,0.77,4.00,-47.46
210.00,0.00,2.43,4.00,-47.57
211.00,0.00,4.65,4.00,-48.20
212.00,0.00,6.87,4.00,-48.78
213.00,0.00,9.09,4.00,-49.32
214.00,0.00,11.09,4.00,-49.78
215.00,0.00,13.31,4.00,-50.27
216.00,0.00,15.53,4.00,-50.93
217.00,0.00,17.75,4.00,-51.70
218.00,0.00,19.97,4.00,-52.44
219.00,0.07,21.05,4.00,-52.80
220.00,1.75,22.49,4.00,-53.76
221.00,3.44,23.94,4.00,-54.65
222.00,5.12,25.39,4.00,-55.50
223.00,6.80,26.83,4.00,-56.30
224.00,8.49,28.28,4.00,-57.06
225.00,10.17,29.73,4.00,-57.78
226.00,10.49,30.00,4.00,-57.91
227.00,10.49,30.00,4.00,-57.91
228.00,10.49,30.00,4.00,-57.91
229.00,10.49,30.00,4.00,-57.91
230.00,10.49,30.00,4.00,-57.91
231.00,10.49,30.00,4.00,-57.91
232.00,9.97,29.55,4.00,-57.69
233.00,8.28,28.10,4.00,-56.97
234.00,6.60,26.66,4.00,-56.20
235.00,4.91,25.21,4.00,-55.40
236.00,3.23,23.76,4.00,-54.55
237.00,1.55,22.32,4.00,-53.64
238.00,0.00,21.17,4.00,-52.82
239.00,0.00,23.39,4.00,-53.50
240.00,0.00,25.61,4.00,-54.15
241.00,0.00,27.83,4.00,-54.78
242.00,0.00,30.05,4.00,-55.38
243.00,0.00,32.27,4.00,-55.95
244.00,0.00,34.49,4.00,-56.51
245.00,0.00,36.71,4.00,-57.04
246.00,0.00,38.93,4.00,-57.56
247.00,0.00,41.15,4.00,-58.06
248.00,0.00,43.37,4.00,-58.54
249.00,0.00,45.59,4.00,-59.01
250.00,0.00,47.81,4.00,-59.46
251.00,0.00,50.03,4.00,-59.90
252.00,0.00,52.25,4.00,-60.32
253.00,0.00,54.47,4.00,-60.74
254.00,0.00,56.69,4.00,-61.14
255.00,0.00,58.91,4.00,-61.53
256.00,0.00,61.13,4.00,-61.92
257.00,0.00,63.35,4.00,-62.29
258.00,0.00,65.57,4.00,-62.65
259.00,0.00,67.79,4.00,-63.01
260.00,0.00,70.01,4.00,-63.35
261.00,0.00,72.23,4.00,-63.69
262.00,0.00,74.45,4.00,-64.02
263.00,0.00,76.67,4.00,-64.34
264.00,0.00,78.89,4.00,-64.66
265.00,0.00,81.11,4.00,-64.97
266.00,0.00,83.33,4.00,-65.28
267.00,0.00,85.55,4.00,-65.57
268.00,0.00,87.77,4.00,-65.86
269.00,0.00,89.99,4.00,-66.15
270.00,0.00,92.21,4.00,-66.43
271.00,0.00,94.43,4.00,-66.71
272.00,0.00,96.65,4.00,-66.98
273.00,0.00,98.87,4.00,-67.24
274.00,0.00,101.09,4.00,-67.50
275.00,0.00,103.31,4.00,-67.76
276.00,0.00,105.53,4.00,-68.01
277.00,0.00,107.75,4.00,-68.26
278.00,0.00,109.97,4.00,-68.50
279.00,0.00,112.19,4.00,-68.74
280.00,0.00,114.41,4.00,-68.98
281.00,0.00,116.63,4.00,-69.21
282.00,0.00,118.85,4.00,-69.44
283.00,0.00,121.07,4.00,-69.66
284.00,0.00,123.29,4.00,-69.88
285.00,0.00,125.51,4.00,-70.10
286.00,0.00,127.73,4.00,-70.32
287.00,0.00,129.95,4.00,-70.53
288.00,0.00,132.17,4.00,-70.74
289.00,0.00,134.39,4.00,-70.94
290.00,0.00,136.61,4.00,-70.88
291.00,0.00,138.83,4.00,-70.67
292.00,0.00,141.05,4.00,-70.46
293.00,0.00,143.27,4.00,-70.25
294.00,0.00,145.49,4.00,-70.03
295.00,0.00,147.71,4.00,-69.81
296.00,0.00,149.93,4.00,-69.59
297.00,0.00,152.15,4.00,-69.37
298.00,0.00,154.37,4.00,-69.14
299.00,0.00,156.59,4.00,-68.90
300.00,0.00,158.81,4.00,-68.67
301.00,0.00,160.80,4.00,-68.45
302.00,0.00,160.80,4.00,-68.45
303.00,0.00,160.80,4.00,-68.45
304.00,0.00,160.80,4.00,-68.45
305.00,0.00,160.80,4.00,-68.45
306.00,0.00,160.80,4.00,-68.45
307.00,0.00,160.57,4.00,-68.48
308.00,0.00,158.35,4.00,-68.72
309.00,0.00,156.13,4.00,-68.95
